标题,作者,摄影,来源,编辑,时间,内容
商学院参与制定的民爆行业智能装备安全性评估标准获工信部行业标准立项公示,作者：李敬 彭小玲,摄影：,"来源：商学院
    ",编辑：新闻中心,发布时间：2026-06-12,"['近日，工业和信息化部行业标准制修订计划项目公示，由我校商学院教授徐运保科研团队主要参与制定的《民用爆炸物品专用智能装备安全性评估》行业标准成功进入立项公示名单。', '该标准聚焦民用爆炸物品行业高危作业场景与智能装备安全应用需求，旨在构建适配行业特殊风险特征的专用智能装备安全性评估体系。标准围绕设备选型、验收、运行维护、升级改造等关键环节，系统规范评估指标、流程、方法及结果应用，推动评估结果实现可量化、可对比、可追溯，为民爆行业智能装备安全管理、风险防控和技术升级提供坚实的标准支撑。', '近年来，徐运保教授科研团队持续服务湖南省现代产业体系建设与标准化工作，先后承担湖南省发改委“十五五”规划重大招标项目《湖南省“十五五”先进制造业与现代服务业深度融合发展研究》，并参与湖南省市场监督管理局“十五五”行业大类服务业名品标准及评价目录的制定工作。此次行业标准成功进入工信部立项公示，充分彰显了我校在标准化研究、产业安全治理、高危行业风险评估等领域的学术积累与社会服务能力。', '下一步，团队将积极推进校企合作，继续围绕智能装备安全治理、行业标准体系建设、产业数字化转型等方向深化研究，为促进民爆行业安全发展与智能化转型持续贡献智慧与力量。', '（审核：周娟玲 徐运保 刘洞波）']"
张小刚讲授思政课,作者：钟周丽嫄,摄影：,"来源：马克思主义学院
    ",编辑：新闻中心,发布时间：2026-06-11,"['为深入贯彻落实立德树人根本任务，充分发挥高校领导干部上讲台讲授思想政治理论课的主渠道作用，6月9日，我校党委委员、副校长张小刚在一报告厅，以“凝聚青年力量 携手共创未来——推动构建人类命运共同体”为题，为广大师生带来了一堂主题鲜明、内涵丰富、启发性强的思政大课。', '课堂上，张小刚紧扣时代脉搏，从“伟大构想应时顺势”“中国行动彰显担当”“命运与共前景可期”等多个维度，生动讲述人类命运共同体构想的提出背景及其在全球治理中的生动实践。', '张小刚寄语青年学子：要胸怀“国之大者”，在深耕专业的同时拓宽国际视野，做中外友谊的桥梁，以文化人、消弭隔阂，为和平发展与人类命运共同体贡献青春力量。他结合学校国际交流实践，勉励同学们将个人理想融入国家发展与人类进步，成长为既懂中国、又懂世界、能担民族复兴大任的时代新人。', '课后，同学们纷纷表示，通过学习，对中国的大国担当与国际责任有了更为深刻的认识，同时也明晰了自身肩负的历史使命；在今后的学习和实践中，将坚定不移听党话、跟党走，怀抱梦想又脚踏实地，努力用脚步丈量现实，用真心传递中国声音，让青春在全面建设社会主义现代化国家和推动构建人类命运共同体的火热实践中绽放绚丽之花。', '（审核：杨欢 刘灵 刘洞波）']"
我校开展本科教育教学审核评估整改督查,作者：彭小敏,摄影：,"来源：高教研究与教学评估中心
    ",编辑：新闻中心,发布时间：2026-06-11,"['为不折不扣落实本科教育教学审核评估整改任务，推动各项整改举措落地见效，近期，学校开展了2026年第一轮本科教育教学审核评估整改督查工作。', '学校高度重视审核评估整改工作，严格对照《湖南工程学院本科教育教学审核评估整改方案》，统筹部署，压实责任。各整改牵头单位主动对标评估要求，全面开展自查自纠，细致梳理整改进度，认真研判重难点问题，细化任务安排、明确完成时限，有序推进整改工作。', '本次督查由督导中心、高教研究与教学评估中心联合组织。督查小组先后走访学生工作部、人事处、教务处、科研管理处、招生就业处、马克思主义学院、国际教育学院等部门及教学单位，详细掌握整改进展，协调解决工作难题，广泛听取意见建议。', '此次督查全面摸清整改实情、找准问题不足，有效畅通部门协作渠道。学校将以此次督查为抓手，持续狠抓整改落实，全力推进审核评估整改工作落地见效，持续提升本科教育教学质量。', '（审核：杨欢 黄中华 刘洞波）']"
助力“校友回湘”工作 我校举行2026届毕业生校友联络员聘任大会,作者：武雅娜,摄影：,"来源：校友联络中心
    ",编辑：新闻中心,发布时间：2026-06-10,"['6月9日下午，我校在二报告厅举行2026届毕业生校友联络员聘任大会。校党委副书记向前，学生工作部、研究生院、校团委、校友联络中心负责人，各教学院分管校友工作负责人、校友工作联络员及2026届新任校友联络员代表参加。会议由校友联络中心主任张宏主持。', '聘任大会上，张宏介绍学校校友会基本情况及“校友回湘”工作推进情况，并宣读《湖南工程学院关于聘任2026届毕业生校友联络员的通知》，公布聘任名单。与会领导为联络员代表颁发聘书。', '研究生院电气工程专业周文娟、材料与化工学院高分子材料与工程专业胡嘉玲、应用技术学院电气工程专业余扬扬三位校友联络员代表先后发言，表示将珍惜联络员这份荣誉，主动架起母校与校友之间的沟通桥梁，用心用情做好服务，汇聚校友力量，助力学校发展。', '向前向受聘的校友联络员表示祝贺，向关心支持校友工作的师生校友致以谢意。她希望联络员们坚守初心、厚植情怀，永葆爱校荣校本心，传承优良校风学风；主动联络、常态履职，织密校友联络网络，确保情谊不断线、联系不断档，以实际行动推进“校友回湘”工作。她勉励大家珍惜荣誉、脚踏实地，以青春之担当践行使命，携手助力母校各项事业迈上新台阶。', '校友联络员制度是学校完善校友工作体系、密切毕业生与母校联系的重要举措。自2022年以来，学校每年在应届毕业生中遴选优秀学生担任校友联络员，今年共有396人受聘。', '（审核：杨欢 张宏 刘洞波）']"
吉首大学来校考察交流本科教育教学工作,作者：龙芳妮,摄影：肖小燕,"来源：高教研究与教学评估中心
    ",编辑：新闻中心,发布时间：2026-06-10,"[' ', '6月9日下午，吉首大学招生就业与教学评估处处长向军一行5人来访我校，双方于二会议室召开本科教育教学工作交流座谈会。高教研究与教学评估中心全体成员和教务处挂职副处长王琼参与交流，会议由高教研究与教学评估中心主任黄中华主持。', '黄中华对向军一行的到来表示热烈欢迎，并简要介绍了学校发展历程、办学定位等整体情况。', '向军介绍了吉首大学的招生就业与教学评估处工作的现状。他表示，湖南工程学院在教育教学方面经验丰富、成果显著，此行旨在学习借鉴优秀思路与实践举措，期待双方加强互动、深入交流。', '随后，与会人员围绕教学评估中心规范化管理运行、本科教育教学审核评估长效整改机制建设、教师教学竞赛统筹组织实施、工程教育专业认证系统性推进等方面分享经验、互通做法。双方一致表示，此次交流精准务实、内容充实，有效搭建了兄弟高校学习互通的良好平台。', '此次专项考察交流，进一步深化了校际友好关系，推动了优质教育教学管理经验的共享与互通，为两校互促共进、协同推进教育教学改革创新筑牢了良好基础。', '（审核：杨欢 黄中华 刘洞波）']"
智慧建造与能源工程学院举办“卓越大讲堂之成长讲坛”专题报告会,作者：汤丹,摄影：唐臻,"来源：智慧建造与能源工程学院
    ",编辑：新闻中心,发布时间：2026-06-10,"[' ', '6月9日，智慧建造与能源工程学院在学院报告厅举办“卓越大讲堂之成长讲坛”专题报告会。党的二十大代表、“全国五一劳动奖章”获得者、湖南建投六建集团二分公司党总支副书记张珍应邀作题为“传承工匠精神 做新时代的筑梦人”的成长报告。院长李小华主持会议，200余名师生代表参加。', '报告中，张珍结合个人成长经历，分享了求学时期的扎实积累、主动投身项目一线的初心坚守，以及履职党的二十大代表后的责任担当。她曾主动请缨参与慈利易地扶贫项目，住工棚、吃泡面，利用无人机航拍优化场地设计，减少土石方开挖2万余立方米，缩短工期15天；在张家界市人民医院项目中，反复修改BIM技术方案达16版；在白马溪村安置房项目中，查出图纸差错44处。她还结合二十大精神和“十五五”规划，分析了土木工程行业数字化、智能化、绿色化发展趋势，指出人工智能将推动智能建造从“试点探索”迈向“强制应用”，鼓励同学们紧跟技术变革，展现新作为。', '在互动环节，张珍勉励学生：“用脑学习知识，用手学习技能，用心学习态度。把知识学以致用，把技能练成艺术。”朴实有力的话语赢得阵阵掌声。', '报告会后，学院邀请张珍参与智能建造专业人才培养方案讨论会，她结合企业实际提出修订建议。教工第一党支部随后举办工匠劳模宣讲暨座谈会，张珍与党员教师围绕“匠心育人”深入交流。', '智慧建造与能源工程学院将持续开展“劳模工匠进校园”系列活动，引导更多学子走技能报国、匠心筑梦之路。', '（审核：周娟玲 施晓蓉 刘洞波）']"
我校举行“启韵·衣叙万象”时尚设计秀暨2026届服装专业毕业设计汇报展演,作者：贺晨亮,摄影：贺晨亮 殷海伦,"来源：纺织服装学院
    ",编辑：新闻中心,发布时间：2026-06-10,"[' ', ' ', '6月9日，“启韵·衣叙万象”时尚设计秀暨2026届纺织服装学院服装专业毕业设计汇报演出在学校主校区大学生活动中心举行。党委委员、副校长张小刚，副校长陈燕东出席，相关职能部门、兄弟学院负责人到场观摩。中国教育电视台节目组、行业资深导演及本地知名服饰企业负责人等特邀嘉宾参加活动。', '本次展演是2026届服装专业毕业生离校前的一次集体专业汇报，集中呈现了学子四年学习与实践的成果。活动创新打造动态走秀、静态展览、虚拟秀场三位一体的展示模式，通过线上线下联动传播，依托AIGC、Style3D等数字技术打造虚拟秀场并同步直播，全方位呈现学子的专业素养与创新活力。静态服饰配饰展集中展出百余套成衣、鞋帽配饰及设计展板，细致呈现作品的创意构思与精致工艺。动态成衣秀环节，表演专业学子身着毕业生原创作品依次登台，灵动演绎百余套时尚佳作。作品深挖中华非遗文化与地域美学底蕴，以现代剪裁与创新工艺活化传统元素，诠释古今交融的设计理念。', '展演结束后，现场上演温情舞蹈节目，为毕业生送上祝福。全体毕业设计师与模特登台谢幕，全体合影留念。', '本次活动由纺织服装学院主办，教务处、校团委协办。这场毕业大秀既是学子四年勤学深耕的成果答卷，也是毕业生情系母校、反哺校园的真挚献礼，充分展现了湖工学子扎实的专业能力与昂扬风貌，同时搭建起校企资源互通、成果共建的优质平台，集中彰显了学院产教融合的育人实效。', '（审核：周娟玲 何斌 刘洞波）']"
湖南大学教授张跃军应邀来校作“人工智能赋能气候金融研究动向”学术报告,作者：李敬,摄影：,"来源：商学院
    ",编辑：新闻中心,发布时间：2026-06-10,"['6月9日下午，我校商学院特邀教育部长江学者特聘教授、首批教育部哲学社会科学创新团队首席专家、湖南大学教授张跃军来校作题为《人工智能赋能气候金融研究动向》的学术报告。学校副校长陈燕东出席并主持会议，商学院部分教师及学生参加。', '报告中，张跃军围绕气候金融的核心范畴、核心挑战、人工智能赋能气候金融的底层逻辑及其研究的基本框架等方面展开了系统阐述。他结合自身多年在能源与气候政策领域的研究积累，深入梳理了气候金融领域的前沿动态，并就人工智能如何有效嵌入气候金融研究提出了具有创新性的分析框架与研究思路。', '在互动交流环节，现场师生围绕人工智能技术在气候风险评估中的应用、数据可得性及模型可解释性等问题，与张教授进行了深入探讨。张跃军逐一细致解答，并结合实际案例分享了相关研究的经验与思考。', '本次学术报告内容丰富、视角新颖，兼具理论高度与实践深度，进一步拓宽了商学院师生在气候金融与人工智能交叉领域的研究视野，对推动相关学科建设与学术合作具有积极启发意义。', '（审核：周娟玲 徐运保 刘洞波）']"
我校荣获第三届“德立信杯”湖南省高校档案知识竞赛二等奖,作者：李昭玥,摄影：,"来源：图书馆（档案馆）
    ",编辑：新闻中心,发布时间：2026-06-09,"['近日，由湖南省高等教育学会档案专业委员会主办的第三届“德立信杯”湖南省高校档案知识竞赛举办，我校选派的张小叶、曾桂峰、李昭玥、胡诚四位老师组成的代表队，在全省参赛高校中脱颖而出，荣获团体二等奖。', '本次竞赛内容涵盖档案基础理论、档案法规标准、档案信息化建设及实务操作等知识点，旨在促进全省高校档案工作者业务能力提升，推动档案知识的学习与宣传。', '参赛的四位专职档案员在完成日常档案管理与服务工作的同时，充分利用业余时间认真学习题库内容，积极开展团队研讨和模拟演练，最终凭借扎实的专业功底和稳定的临场发挥，从众多参赛高校队伍中脱颖而出，荣获团体二等奖。这一成绩充分展现了我校档案馆教师良好的专业素养和团结协作的精神风貌。', '此次获奖是我校档案工作队伍业务能力建设的重要成果，也是对档案馆长期坚持“以学促干、以赛促练”理念的充分肯定。档案馆将以此为契机，坚守“为党管档、为国守史、为民服务”理念，持续加强档案专业知识学习与技能培训，进一步提升档案工作规范化、专业化水平，更好地服务学校各项工作，为学校高质量发展贡献档案力量。', '（审核：杨欢 黄琴 刘洞波）']"
湘南学院来校调研交流,作者：彭惜缘,摄影：杨欢,"来源：国际教育学院
    ",编辑：新闻中心,发布时间：2026-06-09,"[' ', '6月8日，湘南学院副校长贺莉萍一行3人来校访问，双方在二会议室召开交流座谈会。党委委员、副校长罗毅平参加，会议由国际教育学院院长曹丽英主持。', '罗毅平发表欢迎致辞，他简要介绍学校发展概况，并指出，两校地缘相亲、情谊相连，虽办学侧重不同，但在国际化发展上有着共同的追求。希望以此次座谈为纽带，互学互鉴、博采众长，共同推动国际教育事业高质量发展。', '贺莉萍介绍湘南学院的办学定位、发展现状与国际教育工作整体情况。她表示，湖南工程学院在国际教育办学方面经验丰富、成果显著，此行旨在学习借鉴优秀办学思路与实践举措，期待双方深入交流、加强互动。', '曹丽英详细分享我校国际教育学院的办学模式、人才培养、项目运行及机构申报等方面的工作经验与成效。', '随后，双方围绕合作院校遴选、项目申报流程、申报材料筹备及落地推进等重点问题展开热烈讨论，分享工作心得，探讨发展思路，现场交流氛围浓厚。此次交流互通思想、凝聚共识，有效增进了两校情谊，为两校携手深耕国际化办学之路积蓄了奋进力量。', '（审核：杨欢 魏坚 刘洞波）']"
